Monday
690 274
1285 232
1634 200
2123 186
2412 178
3041 155
3691 150
3899 148
4372 146
31934 146


Tuesday
670 331
931 331
1233 321
1692 292
5895 272
21222 272
59688 272


Wednesday
150 254
231 250
306 250
436 222
652 198
808 198
1002 196
1429 174
6544 158
7761 150
8086 149
13121 145
77212 145


Thursday
178 367
272 345
539 301
925 265
1430 253
1925 217
2503 209
3061 202
41211 202


Friday
716 354
1335 302
1492 282
3515 196
6262 188
7891 177
11729 150
12665 148
36003 148


4372 146
5895 272
13121 145
3061 202
12665 148


31934 146
59688 272
77212 145
41211 202
36003 148
