1	6	6	3
2	11	9	3
3	11	9	3
4	20	12	3
5	23	12	3
6	26	12	3
7	26	12	6
8	26	12	6
9	26	12	6
10	26	12	6
11	32	12	6
12	35	12	6
13	35	12	6
14	41	12	6
15	41	12	6
16	41	12	6
17	44	12	6
18	44	12	6
19	44	12	6
20	47	12	6
21	47	12	6
22	47	12	9
23	47	12	9
24	47	12	9
25	47	12	9
26	47	12	9
27	53	12	9
28	53	12	12
29	53	12	12
30	53	12	12
31	53	12	12
32	59	15	15
33	59	15	15
34	59	15	15
35	59	15	15
36	59	15	15
37	59	15	15
38	59	15	15
39	59	15	15
40	59	15	15
41	59	15	15
42	59	15	15
43	59	15	15
44	59	15	15
45	59	15	15
46	59	15	15
47	59	15	15
48	61	15	15
49	61	15	15
50	61	15	15
51	61	15	15
52	61	15	15
53	61	15	15
54	61	15	15
55	61	15	15
56	61	15	15
57	61	15	15
58	61	15	15
59	61	15	15
60	61	15	18
61	61	15	21
