Monday
230	324
542	294
759	282
900	278
1858	278
4914	260
4937	180
5749	180
7020	180
9606	180
10151	174
10907	174
35521	155
64515	155
71684	155


Tuesday
432	252
870	252
872	236
1114	236
1132	232
1351	232
1453	176
3892	176
3899	174
3997	148
4121	148
20289	148
128140	148
144095	148


Wednesday
65	312
313	308
521	274
780	252
1013	252
1271	252
1375	236
1486	232
2580	176
3901	174
4229	148
129688	148
156325	137
192228	137
225389	135
245111	123
254271	123
306284	123


Thursday
355	311
438	311
531	311
600	243
1159	243
1878	213
2391	211
2391	197
23780	197
23979	185
101632	185
104995	178
136123	155
161538	147
164002	130
187938	122
224524	122
258630	122


Friday
100	283
209	283
269	283
329	283
888	271
2199	250
2200	230
2334	207
4332	137
60206	137


4332	137
224524	122
245111	123
3997	148
35521	155


60206	137
258630	122
306284	123
144095	148
71684	155
